"aa";"Kaikki maat yhteensä";"2 423 227€";186 313;"kg"
"be";"Belgia";"1 807€";136;"kg"
"br";"Brasilia";"338€";9;"kg"
"cn";"Kiina";"928 187€";84 469;"kg"
"cz";"Tsekin tasavalta";"4 619€";462;"kg"
"de";"Saksa";"72 756€";9 480;"kg"
"dk";"Tanska";"9 751€";621;"kg"
"ee";"Viro";"417€";46;"kg"
"es";"Espanja";"2 593€";172;"kg"
"gb";"Iso-Britannia";"131€";10;"kg"
"hk";"Hongkong";"36 590€";3 268;"kg"
"id";"Indonesia";"2 034€";58;"kg"
"il";"Israel";"727€";68;"kg"
"in";"Intia";"40 696€";4 206;"kg"
"it";"Italia";"22 673€";1 892;"kg"
"lk";"Sri Lanka";"58€";3;"kg"
"lu";"Luxemburg";"50 744€";4 333;"kg"
"mk";"Makedonia";"33 123€";11 310;"kg"
"my";"Malesia";"9€";1;"kg"
"nl";"Alankomaat";"291€";35;"kg"
"nz";"Uusi Seelanti";"5 495€";91;"kg"
"pk";"Pakistan";"653 827€";40 651;"kg"
"pl";"Puola";"6 110€";656;"kg"
"se";"Ruotsi";"196 771€";10 138;"kg"
"sg";"Singapore";"2 245€";643;"kg"
"th";"Thaimaa";"311 642€";8 415;"kg"
"tr";"Turkki";"32€";2;"kg"
"tw";"Taiwan";"26 035€";3 999;"kg"
"us";"USA";"8 618€";269;"kg"
"vn";"Vietnam";"4 908€";870;"kg"
