"aa";"Kaikki maat yhteensä";"206 342 524€";634 147;"kg"
"at";"Itävalta";"108 348€";321;"kg"
"au";"Australia";"673€";6;"kg"
"be";"Belgia";"27 476€";389;"kg"
"br";"Brasilia";"10 025€";30;"kg"
"ca";"Kanada";"1 636 111€";5 555;"kg"
"ch";"Sveitsi";"112 565€";200;"kg"
"cl";"Chile";"133 526€";526;"kg"
"cn";"Kiina";"55 767 452€";215 229;"kg"
"cz";"Tsekin tasavalta";"176 086€";847;"kg"
"de";"Saksa";"4 019 702€";6 191;"kg"
"dk";"Tanska";"2 746 561€";9 975;"kg"
"ee";"Viro";"172 951€";134;"kg"
"es";"Espanja";"40 277€";78;"kg"
"fr";"Ranska";"339 967€";2 981;"kg"
"gb";"Iso-Britannia";"1 683 809€";6 399;"kg"
"gr";"Kreikka";"57€";1;"kg"
"gu";"Guam";"252€";1;"kg"
"hk";"Hongkong";"908 322€";7 880;"kg"
"hr";"Kroatia";"8 275€";18;"kg"
"hu";"Unkari";"67 879€";194;"kg"
"id";"Indonesia";"1 769 150€";7 577;"kg"
"ie";"Irlanti";"81 182€";631;"kg"
"il";"Israel";"712 828€";1 001;"kg"
"in";"Intia";"844€";14;"kg"
"is";"Islanti";"41 076€";60;"kg"
"it";"Italia";"466 731€";2 213;"kg"
"jo";"Jordania";"46€";1;"kg"
"jp";"Japani";"91 466 738€";132 792;"kg"
"kp";"Pohjois-Korea";"394€";2;"kg"
"kr";"Etelä-Korea";"2 017 710€";20 903;"kg"
"lv";"Latvia";"9 258€";25;"kg"
"mo";"Macao";"50€";0;"kg"
"mx";"Meksiko";"10 903€";54;"kg"
"my";"Malesia";"1 749 646€";9 389;"kg"
"nl";"Alankomaat";"327 763€";24 650;"kg"
"no";"Norja";"1 707 001€";1 316;"kg"
"nz";"Uusi Seelanti";"9 731€";27;"kg"
"ph";"Filippiinit";"123 032€";145;"kg"
"pk";"Pakistan";"2 163€";6;"kg"
"pl";"Puola";"93 324€";505;"kg"
"pt";"Portugali";"746 720€";3 130;"kg"
"qa";"Qatar";"237€";2;"kg"
"ru";"Venäjä";"625€";13;"kg"
"sa";"Saudi-Arabia";"464€";5;"kg"
"se";"Ruotsi";"1 437 322€";9 423;"kg"
"sg";"Singapore";"153 838€";335;"kg"
"si";"Slovenia";"13 650€";100;"kg"
"sk";"Slovakia";"21 036€";658;"kg"
"th";"Thaimaa";"12 852 107€";62 066;"kg"
"tr";"Turkki";"210 491€";9 765;"kg"
"tw";"Taiwan";"15 463 325€";65 923;"kg"
"ua";"Ukraina";"94 639€";2;"kg"
"um";"Tyynenm. erillissaaret (USA)";"96€";1;"kg"
"us";"USA";"5 522 206€";22 960;"kg"
"uy";"Uruguay";"507€";13;"kg"
"vn";"Vietnam";"1 271 813€";1 453;"kg"
"za";"Etelä-Afrikka";"3 564€";32;"kg"
