"aa";"Kaikki maat yhteensä";"58 673 352€";16 312 836;"kg"
"be";"Belgia";"556 880€";49 726;"kg"
"ch";"Sveitsi";"192 178€";13 233;"kg"
"cn";"Kiina";"6 447 423€";1 938 673;"kg"
"cz";"Tsekin tasavalta";"1 157 596€";127 445;"kg"
"de";"Saksa";"6 854 130€";1 262 372;"kg"
"dk";"Tanska";"790€";22;"kg"
"ee";"Viro";"42 029€";12 737;"kg"
"es";"Espanja";"3 570 754€";996 114;"kg"
"fr";"Ranska";"2 545 828€";761 320;"kg"
"gr";"Kreikka";"9 952€";1 280;"kg"
"it";"Italia";"6 027 750€";1 718 749;"kg"
"ke";"Kenia";"1 677€";201;"kg"
"kr";"Etelä-Korea";"6 720 957€";1 356 817;"kg"
"pl";"Puola";"12 741 511€";4 480 488;"kg"
"ru";"Venäjä";"373 838€";108 358;"kg"
"se";"Ruotsi";"4 432 912€";1 155 696;"kg"
"si";"Slovenia";"669 220€";235 901;"kg"
"sk";"Slovakia";"3 121 506€";1 182 737;"kg"
"th";"Thaimaa";"758 609€";64 861;"kg"
"tr";"Turkki";"2 387 674€";839 626;"kg"
"us";"USA";"60 138€";6 480;"kg"
