"aa";"Kaikki maat yhteensä";"177 649 201€";68 005 720;"ct/l"
"ag";"Antigua ja Barbuda";"35 907€";48 003;"ct/l"
"ar";"Argentiina";"9 515 313€";4 204 747;"ct/l"
"at";"Itävalta";"1 300 937€";243 097;"ct/l"
"au";"Australia";"14 343 875€";5 219 634;"ct/l"
"be";"Belgia";"1 011€";113;"ct/l"
"bg";"Bulgaria";"141 061€";65 132;"ct/l"
"br";"Brasilia";"46 925€";12 058;"ct/l"
"ca";"Kanada";"3 211€";45;"ct/l"
"ch";"Sveitsi";"31 398€";4 361;"ct/l"
"cl";"Chile";"31 481 363€";13 810 009;"ct/l"
"cn";"Kiina";"39 222€";9 883;"ct/l"
"cy";"Kypros";"23 940€";4 536;"ct/l"
"de";"Saksa";"7 887 017€";3 351 996;"ct/l"
"dk";"Tanska";"1 378 817€";772 152;"ct/l"
"ee";"Viro";"493 582€";175 326;"ct/l"
"es";"Espanja";"24 025 958€";10 105 867;"ct/l"
"fj";"Fidzi";"50€";6;"ct/l"
"fr";"Ranska";"34 941 388€";8 231 063;"ct/l"
"gb";"Iso-Britannia";"1 909 941€";987 808;"ct/l"
"ge";"Georgia";"31 144€";7 569;"ct/l"
"gr";"Kreikka";"216 119€";94 013;"ct/l"
"hk";"Hongkong";"54€";2;"ct/l"
"hr";"Kroatia";"81€";4;"ct/l"
"hu";"Unkari";"1 282 593€";1 174 082;"ct/l"
"ie";"Irlanti";"4 969€";6 381;"ct/l"
"il";"Israel";"120 497€";24 107;"ct/l"
"in";"Intia";"26 189€";7 221;"ct/l"
"it";"Italia";"23 919 547€";8 039 067;"ct/l"
"jp";"Japani";"497€";33;"ct/l"
"lb";"Libanon";"98 434€";19 080;"ct/l"
"lu";"Luxemburg";"806 187€";151 496;"ct/l"
"lv";"Latvia";"1 513€";414;"ct/l"
"ma";"Marokko";"10 676€";1 585;"ct/l"
"md";"Moldova";"8 752€";2 808;"ct/l"
"mk";"Makedonia";"107 559€";97 748;"ct/l"
"nl";"Alankomaat";"10 966€";23 900;"ct/l"
"no";"Norja";"772 061€";362 596;"ct/l"
"np";"Nepal";"83€";2;"ct/l"
"nz";"Uusi Seelanti";"2 059 364€";349 322;"ct/l"
"pa";"Panama";"170€";12;"ct/l"
"pe";"Peru";"105€";3;"ct/l"
"pt";"Portugali";"2 839 801€";893 824;"ct/l"
"ro";"Romania";"108 796€";75 934;"ct/l"
"ru";"Venäjä";"7 002€";1 107;"ct/l"
"sa";"Saudi-Arabia";"90 228€";18 718;"ct/l"
"se";"Ruotsi";"1 461 260€";814 819;"ct/l"
"sg";"Singapore";"103€";13;"ct/l"
"si";"Slovenia";"48 720€";51 544;"ct/l"
"tr";"Turkki";"24 370€";8 798;"ct/l"
"us";"USA";"3239013€";1664723;"ct/l"
"uy";"Uruguay";"54€";3;"ct/l"
"za";"Etelä-Afrikka";"12 751 378€";6 868 956;"ct/l"
